student_id,subject,factor_1,factor_2,factor_3,gpa
S066,Physics,6.0;8.1,6.9,7.4,7.16
S066,Chemistry,6.3;5.8,7.8,7.0,6.96
S066,Biology,6.2;7.2,6.3,7.4,6.89
S066,History,5.5;5.9,6.4,6.6,6.29
S066,Geography,6.0;6.7,7.3,6.0,6.47
S067,Math,4.4;4.3,5.7,5.4,5.19
S067,Literature,4.3;4.4,5.5,5.2,5.04
S067,English,3.9;6.1,3.1,3.1,3.64
S067,Physics,5.4;4.7,5.3,6.0,5.53
S067,Chemistry,5.2;5.5,5.7,4.5,5.09
S067,Biology,6.5;5.1,5.1,3.3,4.53
S067,History,4.1;6.3,4.5,4.5,4.7
S067,Geography,3.2;5.6,4.4,3.9,4.19
S068,Math,9.9;9.5,9.8,8.8,9.34
S068,Literature,8.3;9.4,8.6,9.0,8.84
S068,English,9.9;9.0,9.2,8.8,9.1
S068,Physics,9.4;9.8,9.1,9.1,9.24
S068,Chemistry,9.0;9.7,8.3,8.8,8.81
S068,Biology,8.7;8.0,9.4,9.0,8.93
S068,History,8.4;9.5,9.2,9.1,9.09
S068,Geography,9.2;8.3,9.3,9.6,9.27
S069,Math,7.1;7.7,6.3,7.4,7.09
S069,Literature,7.1;7.5,5.4,7.7,6.93
S069,English,6.1;5.9,5.8,8.1,6.84
S069,Physics,5.8;5.9,6.2,6.8,6.36
S069,Chemistry,5.7;5.7,7.9,7.5,7.1
S069,Biology,6.1;8.1,6.1,6.4,6.51
S069,History,7.9;7.1,7.1,5.8,6.66
S069,Geography,7.5;6.3,7.6,7.2,7.23
S070,Math,7.0;6.3,6.9,6.7,6.74
S070,Literature,7.7;6.3,6.3,6.9,6.76
S070,English,6.0;7.9,6.0,5.6,6.1
S070,Physics,5.9;6.6,7.5,7.7,7.23
S070,Chemistry,8.4;6.9,6.8,6.1,6.74
S070,Biology,7.7;8.2,6.2,7.5,7.26
S070,History,6.5;7.6,6.4,8.1,7.31
S070,Geography,7.9;6.3,7.5,8.2,7.69
S071,Math,7.7;6.4,7.0,6.2,6.67
S071,Literature,6.7;7.4,5.7,5.6,6.04
S071,English,6.3;6.6,5.1,5.0,5.44
S071,Physics,8.2;7.1,5.9,5.2,6.1
S071,Chemistry,8.4;6.6,7.2,8.0,7.63
S071,Biology,7.2;5.9,8.0,5.5,6.51
S071,History,6.6;6.6,6.8,7.2,6.91
S071,Geography,5.6;5.5,7.5,5.3,6.0
S072,Math,6.3;7.1,7.0,6.8,6.83
S072,Literature,7.0;5.8,5.3,8.4,6.94
S072,English,6.3;8.0,5.6,6.9,6.6
S072,Physics,6.1;7.8,5.2,6.5,6.26
S072,Chemistry,6.4;5.9,7.8,6.4,6.73
S072,Biology,6.8;8.3,5.9,6.0,6.41
S072,History,5.7;7.9,5.1,7.3,6.53
S072,Geography,7.6;7.8,5.4,7.2,6.83
S073,Math,8.5;8.6,8.0,9.3,8.71
S073,Literature,8.1;8.4,9.3,9.0,8.87
S073,English,9.7;8.4,8.5,9.1,8.91
S073,Physics,9.1;9.2,8.6,9.3,9.06
S073,Chemistry,8.1;9.3,8.8,9.9,9.24
S073,Biology,9.2;8.2,9.1,9.1,8.99
S073,History,9.4;9.2,9.7,9.9,9.67
S073,Geography,10.0;8.6,9.1,8.7,8.99
S074,Math,9.2;9.4,8.2,8.5,8.64
S074,Literature,8.2;9.8,9.3,10.0,9.51
S074,English,9.1;9.7,10.0,8.9,9.36
S074,Physics,8.0;9.3,9.6,9.9,9.46
S074,Chemistry,8.5;9.4,9.1,9.7,9.31
S074,Biology,9.3;8.5,9.1,8.7,8.87
S074,History,8.3;8.0,8.0,9.4,8.64
S074,Geography,8.6;9.4,8.9,9.0,8.97
S075,Math,6.4;6.3,7.0,7.5,7.03
S075,Literature,7.4;5.5,5.5,5.3,5.69
S075,English,6.7;6.3,7.4,6.9,6.93
S075,Physics,5.6;5.7,6.3,6.9,6.37
S075,Chemistry,7.3;5.5,7.1,5.7,6.3
S075,Biology,7.7;8.3,5.9,5.7,6.41
S075,History,8.1;8.2,6.9,7.3,7.43
S075,Geography,6.7;7.5,5.8,6.5,6.47
S076,Math,7.0;6.3,7.1,7.4,7.1
S076,Literature,6.7;5.7,7.3,8.1,7.33
S076,English,7.0;7.6,5.5,8.0,7.09
S076,Physics,6.5;7.4,6.2,6.0,6.33
S076,Chemistry,5.6;8.4,5.6,7.5,6.81
S076,Biology,6.1;6.6,7.1,7.0,6.84
S076,History,5.7;6.3,6.2,5.6,5.89
S076,Geography,7.6;5.6,5.8,6.3,6.24
S077,Math,5.9;7.6,5.2,7.5,6.63
S077,Literature,8.5;6.5,5.9,7.4,7.0
S077,English,7.8;5.7,7.9,7.0,7.19
S077,Physics,7.8;5.5,7.9,7.8,7.5
S077,Chemistry,8.3;6.9,6.4,5.7,6.44
S077,Biology,6.7;7.4,7.8,5.2,6.47
S077,History,8.1;6.9,7.7,5.9,6.87
S077,Geography,7.4;8.5,6.2,8.1,7.51
S078,Math,9.8;9.0,9.2,9.8,9.51
S078,Literature,10.0;9.9,8.4,9.4,9.27
S078,English,8.3;8.1,8.5,9.7,8.93
S078,Physics,9.3;8.9,9.8,8.5,9.04
S078,Chemistry,8.8;8.7,9.4,8.6,8.87
S078,Biology,8.5;9.9,8.5,9.0,8.91
S078,History,8.8;9.6,8.3,9.2,8.94
S078,Geography,8.1;9.4,8.7,8.6,8.67
S079,Math,6.9;6.7,7.0,5.7,6.39
S079,Literature,7.8;8.1,7.5,6.9,7.37
S079,English,5.9;8.4,7.1,6.3,6.77
S079,Physics,5.6;7.5,7.0,6.6,6.7
S079,Chemistry,6.7;7.3,5.2,8.3,7.04
S079,Biology,8.3;6.8,6.1,8.3,7.46
S079,History,8.2;7.7,5.1,6.4,6.47
S079,Geography,6.8;6.3,6.7,5.8,6.27
S080,Math,6.3;7.2,6.5,6.5,6.57
S080,Literature,5.9;5.8,8.0,8.4,7.56
S080,English,5.8;6.1,6.1,8.2,6.96
S080,Physics,6.5;6.2,5.3,5.9,5.86
S080,Chemistry,6.8;7.3,5.8,8.0,7.1
S080,Biology,7.8;6.5,5.9,7.9,7.11
S080,History,8.3;7.1,7.7,7.4,7.57
S080,Geography,8.4;6.7,7.5,6.3,7.0
S081,Math,8.2;5.5,7.7,8.3,7.71
S081,Literature,8.3;5.9,6.7,6.9,6.9
S081,English,7.3;6.5,7.9,5.7,6.67
S081,Physics,7.1;7.5,6.0,5.3,6.07
S081,Chemistry,6.1;6.8,6.8,5.9,6.31
S081,Biology,6.6;7.0,5.8,7.6,6.86
S081,History,5.7;7.1,5.3,5.8,5.83
S081,Geography,6.4;7.6,6.0,6.0,6.29
S082,Math,8.3;6.5,7.4,6.0,6.8
S082,Literature,8.2;7.6,7.7,7.0,7.46
S082,English,7.2;5.5,7.8,5.4,6.36
S082,Physics,8.0;7.3,6.0,5.3,6.17
S082,Chemistry,8.1;8.0,6.8,5.9,6.77
S082,Biology,8.2;7.3,7.5,6.1,6.97
S082,History,8.2;8.4,5.8,6.4,6.77
S082,Geography,8.4;6.8,7.1,5.8,6.69
S083,Math,5.9;7.3,6.0,7.1,6.64
S083,Literature,6.2;6.5,6.1,8.3,7.11
S083,English,6.7;8.5,6.6,8.0,7.49
S083,Physics,8.0;6.4,7.1,8.0,7.51
S083,Chemistry,6.8;6.5,6.1,7.5,6.86
S083,Biology,7.9;7.3,6.0,8.3,7.44
S083,History,6.4;6.1,7.5,5.4,6.24
S083,Geography,7.1;7.2,7.2,6.7,6.97
S084,Math,6.1;7.6,7.7,5.1,6.34
S084,Literature,8.3;6.1,5.7,8.2,7.2
S084,English,5.9;7.2,7.0,7.7,7.17
S084,Physics,6.1;5.7,6.5,7.1,6.59
S084,Chemistry,7.8;6.6,6.0,6.2,6.43
S084,Biology,5.6;8.0,7.6,8.1,7.59
S084,History,7.4;5.6,6.3,6.9,6.61
S084,Geography,8.5;8.2,5.6,6.4,6.73
S085,Math,5.8;8.2,5.9,5.8,6.17
S085,Literature,5.8;7.7,7.3,8.4,7.61
S085,English,6.9;5.9,7.2,8.2,7.4
S085,Physics,8.3;8.4,7.0,6.7,7.26
S085,Chemistry,7.3;5.9,6.6,5.8,6.26
S085,Biology,6.8;6.1,6.7,6.3,6.46
S085,History,7.9;5.9,5.8,5.7,6.07
S085,Geography,8.5;7.4,6.7,8.3,7.74
S086,Math,6.1;8.1,5.4,8.3,7.13
S086,Literature,7.0;6.9,6.3,7.7,7.09
S086,English,7.4;6.5,5.2,6.1,6.09
S086,Physics,7.0;7.5,7.1,6.7,6.97
S086,Chemistry,5.6;7.9,7.2,8.2,7.5
S086,Biology,6.8;7.7,6.3,5.5,6.23
S086,History,8.0;7.3,6.7,8.2,7.61
S086,Geography,8.1;8.4,7.4,6.5,7.26
S087,Math,6.0;6.6,6.0,6.9,6.47
S087,Literature,7.6;5.6,6.6,8.5,7.41
S087,English,6.0;6.6,7.2,7.0,6.86
S087,Physics,6.8;7.2,6.0,6.8,6.63
S087,Chemistry,6.1;6.4,7.1,6.5,6.6
S087,Biology,6.1;8.1,7.5,7.8,7.51
S087,History,8.1;6.0,6.7,5.9,6.46
S087,Geography,5.6;7.3,5.8,6.7,6.37
S088,Math,7.2;6.5,5.5,7.9,6.91
S088,Literature,7.0;7.3,7.7,7.3,7.37
S088,English,6.8;8.0,7.0,6.8,7.03
S088,Physics,8.0;6.4,6.9,7.6,7.29
S088,Chemistry,7.9;5.6,7.5,7.3,7.2
S088,Biology,5.6;6.2,5.4,7.4,6.4
S088,History,7.7;5.6,6.0,7.5,6.83
S088,Geography,6.1;6.0,5.5,6.6,6.13
S089,Math,6.2;6.7,7.4,5.1,6.14
S089,Literature,7.1;7.8,7.5,7.6,7.53
S089,English,6.1;7.9,6.0,5.3,5.99
S089,Physics,7.7;5.6,6.8,8.5,7.49
S089,Chemistry,7.9;6.3,6.2,7.5,7.01
S089,Biology,5.8;8.0,7.1,6.3,6.7
S089,History,6.2;5.8,6.4,8.4,7.14
S089,Geography,8.5;7.5,7.2,7.0,7.34
S090,Math,7.9;8.1,6.0,7.1,7.04
S090,Literature,6.0;6.1,7.1,7.2,6.84
S090,English,6.1;5.8,5.6,6.6,6.13
S090,Physics,7.7;6.3,7.7,8.4,7.8
S090,Chemistry,7.7;6.9,6.1,5.3,6.1
S090,Biology,6.1;5.7,7.5,7.0,6.83
S090,History,7.3;7.1,7.8,6.4,7.03
S090,Geography,7.0;7.0,6.7,6.9,6.87
S091,Math,9.5;8.2,8.7,9.7,9.17
S091,Literature,9.5;9.5,9.3,9.8,9.57
S091,English,8.9;9.3,8.7,8.9,8.9
S091,Physics,8.6;8.3,8.9,9.2,8.9
S091,Chemistry,9.4;9.1,8.0,10.0,9.21
S091,Biology,9.6;8.1,8.2,9.9,9.11
S091,History,8.4;9.8,8.5,8.7,8.76
S091,Geography,9.8;8.8,9.2,9.9,9.53
S092,Math,3.3;5.4,3.1,6.0,4.7
S092,Literature,4.1;3.8,3.4,4.0,3.81
S092,English,6.5;6.0,4.3,5.8,5.5
S092,Physics,6.2;3.7,3.0,3.3,3.69
S092,Chemistry,6.4;3.8,5.3,4.5,4.9
S092,Biology,5.5;5.6,3.6,5.3,4.89
S092,History,5.6;4.5,4.9,3.2,4.21
S092,Geography,4.2;4.9,5.4,2.8,4.04
S093,Math,8.0;6.7,6.1,7.9,7.23
S093,Literature,8.5;7.5,7.8,6.7,7.39
S093,English,8.2;6.0,5.5,6.3,6.3
S093,Physics,7.7;6.9,6.9,6.0,6.63
S093,Chemistry,5.9;5.7,7.8,7.3,7.01
S093,Biology,7.4;7.9,5.7,5.2,6.04
S093,History,8.0;6.4,7.1,7.1,7.13
S093,Geography,7.0;7.2,5.5,8.3,7.16
S094,Math,8.3;9.7,9.9,8.5,9.04
S094,Literature,9.9;9.4,8.0,9.5,9.11
S094,English,9.2;8.4,8.7,9.3,8.99
S094,Physics,8.2;8.2,9.8,9.5,9.21
S094,Chemistry,8.2;9.8,8.0,9.1,8.76
S094,Biology,8.1;8.3,8.3,8.6,8.4
S094,History,8.3;9.2,8.2,8.5,8.49
S094,Geography,9.5;9.8,9.7,8.9,9.34
S095,Math,7.0;7.1,7.0,8.3,7.57
S095,Literature,5.7;8.4,5.6,6.3,6.31
S095,English,5.9;7.7,5.9,8.4,7.23
S095,Physics,6.9;7.9,5.1,7.9,6.96
S095,Chemistry,6.4;5.5,6.3,5.2,5.73
S095,Biology,6.7;6.2,7.2,7.7,7.2
S095,History,7.8;7.7,6.5,6.4,6.81
S095,Geography,7.7;8.3,5.6,6.2,6.54
S096,Math,3.4;5.2,3.2,3.1,3.47
S096,Literature,4.9;4.1,3.8,3.3,3.79
S096,English,4.4;3.1,5.9,3.5,4.26
S096,Physics,4.4;4.7,3.5,3.9,3.97
S096,Chemistry,5.8;3.8,4.4,3.0,3.91
S096,Biology,3.3;3.1,3.3,4.5,3.79
S096,History,3.6;3.8,4.9,5.1,4.64
S096,Geography,5.1;5.8,3.9,3.9,4.34
S097,Math,6.2;3.8,5.3,2.8,4.14
S097,Literature,5.2;5.4,3.4,2.7,3.64
S097,English,4.0;3.2,4.5,5.0,4.46
S097,Physics,3.4;4.2,5.6,4.0,4.4
S097,Chemistry,6.5;3.4,4.3,4.4,4.53
S097,Biology,5.0;4.1,5.3,5.0,4.96
S097,History,6.0;3.0,3.3,3.3,3.64
S097,Geography,3.4;4.9,5.3,4.2,4.5
S098,Math,6.1;4.3,4.6,5.1,4.99
S098,Literature,5.7;4.0,3.4,5.3,4.63
S098,English,4.5;6.1,3.1,3.2,3.77
S098,Physics,4.4;4.1,3.4,3.2,3.56
S098,Chemistry,3.2;5.9,5.5,5.3,5.14
S098,Biology,5.3;3.0,5.8,2.8,4.04
S098,History,4.1;4.4,4.8,3.8,4.21
S098,Geography,6.4;5.3,3.5,3.6,4.21
S099,Math,7.6;7.2,6.1,7.3,6.99
S099,Literature,6.7;6.2,7.7,7.5,7.26
S099,English,7.3;8.3,8.0,7.7,7.81
S099,Physics,7.0;7.2,6.2,7.3,6.93
S099,Chemistry,6.6;8.4,7.6,7.7,7.61
S099,Biology,7.3;5.8,5.7,5.8,5.99
S099,History,7.2;7.2,7.0,5.2,6.29
S099,Geography,8.3;7.7,5.7,7.3,7.04
S100,Math,7.4;7.5,5.3,5.6,6.04
S100,Literature,7.7;6.5,7.4,7.6,7.4
S100,English,7.9;5.7,6.1,5.0,5.83
S100,Physics,5.7;8.2,7.6,6.6,6.99
S100,Chemistry,7.6;6.2,5.1,7.7,6.73
S100,Biology,6.9;7.9,5.2,7.2,6.69
S100,History,7.5;7.5,6.2,5.9,6.44
S100,Geography,7.5;5.6,5.2,6.3,6.06
S101,Math,6.0;6.9,6.7,7.4,6.93
S101,Literature,6.6;7.0,6.2,5.4,6.03
S101,English,7.5;6.0,7.3,5.5,6.37
S101,Physics,8.2;5.7,5.7,6.3,6.31
S101,Chemistry,6.9;6.4,7.1,7.8,7.27
S101,Biology,6.7;7.5,6.5,6.7,6.76
S101,History,5.6;8.2,7.2,8.0,7.46
S101,Geography,5.8;6.3,7.6,8.2,7.41
S102,Math,5.9;5.9,6.0,7.2,6.49
S102,Literature,7.3;5.9,6.4,7.7,7.01
S102,English,5.6;7.6,7.9,5.3,6.41
S102,Physics,5.9;7.8,7.6,7.9,7.51
S102,Chemistry,8.4;8.1,7.0,8.1,7.83
S102,Biology,7.4;7.1,6.3,7.0,6.87
S102,History,6.4;7.2,5.5,8.5,7.16
S102,Geography,6.4;8.2,6.8,5.3,6.3
S103,Math,5.9;5.8,3.1,5.6,4.96
S103,Literature,5.0;3.3,3.5,2.6,3.3
S103,English,6.4;5.3,4.8,2.6,4.16
S103,Physics,4.3;3.9,4.3,2.6,3.51
S103,Chemistry,5.7;3.0,3.6,3.0,3.56
S103,Biology,5.3;3.2,3.4,5.5,4.54
S103,History,4.4;4.4,4.1,5.8,4.91
S103,Geography,3.7;4.1,4.0,4.8,4.31
S104,Math,6.3;5.8,5.3,6.6,6.07
S104,Literature,6.0;7.6,5.2,7.1,6.47
S104,English,6.5;8.2,6.4,7.8,7.27
S104,Physics,7.4;7.5,5.9,6.5,6.6
S104,Chemistry,6.4;5.7,7.9,5.7,6.43
S104,Biology,6.1;6.4,5.9,7.3,6.6
S104,History,7.1;8.4,5.4,5.6,6.16
S104,Geography,6.8;6.9,5.4,6.3,6.2
S105,Math,7.3;7.0,6.3,7.6,7.1
S105,Literature,6.0;8.2,7.4,6.2,6.8
S105,English,6.2;7.1,6.9,8.0,7.3
S105,Physics,6.6;5.7,6.0,7.4,6.64
S105,Chemistry,6.5;5.6,6.5,6.4,6.33
S105,Biology,6.7;7.9,7.2,5.9,6.67
S105,History,7.0;7.7,7.3,6.2,6.84
S105,Geography,6.2;6.8,5.5,5.3,5.7
S106,Math,6.1;7.3,6.0,7.2,6.71
S106,Literature,7.9;5.9,7.0,5.9,6.5
S106,English,8.1;7.1,7.7,5.7,6.81
S106,Physics,7.9;6.1,5.1,6.0,6.03
S106,Chemistry,8.0;7.0,5.2,7.4,6.8
S106,Biology,6.3;7.2,7.0,5.3,6.2
S106,History,8.1;8.2,5.4,6.8,6.79
S106,Geography,7.6;7.5,7.0,6.2,6.81
S107,Math,8.1;5.7,7.8,5.7,6.64
S107,Literature,8.1;5.9,7.4,6.9,7.07
S107,English,6.7;6.7,5.9,7.2,6.69
S107,Physics,8.0;7.0,6.1,6.2,6.54
S107,Chemistry,8.0;5.6,6.9,5.6,6.31
S107,Biology,5.9;7.7,6.7,7.5,7.07
S107,History,6.8;7.1,7.5,7.2,7.21
S107,Geography,8.2;6.3,5.5,7.1,6.69
S108,Math,5.0;5.9,4.8,5.2,5.16
S108,Literature,5.9;4.2,4.4,5.2,4.93
S108,English,5.4;3.9,5.0,2.8,3.96
S108,Physics,3.4;4.9,5.0,4.2,4.41
S108,Chemistry,6.3;4.9,4.0,2.8,3.94
S108,Biology,3.3;3.5,4.6,3.2,3.66
S108,History,5.6;5.4,4.7,3.1,4.24
S108,Geography,4.6;5.3,4.0,5.3,4.83
S109,Math,6.5;6.3,7.4,8.5,7.59
S109,Literature,8.3;5.5,5.1,7.6,6.69
S109,English,8.2;6.2,7.0,6.8,6.97
S109,Physics,8.2;8.4,7.9,6.9,7.59
S109,Chemistry,5.7;8.2,7.1,8.1,7.49
S109,Biology,6.2;6.7,6.0,7.0,6.56
S109,History,5.7;7.7,6.6,7.8,7.14
S109,Geography,5.9;6.1,6.4,6.3,6.24
S110,Math,5.5;6.6,7.5,8.3,7.43
S110,Literature,6.2;7.5,5.3,8.5,7.11
S110,English,5.9;6.9,5.5,6.0,5.97
S110,Physics,7.9;8.4,6.5,5.9,6.71
S110,Chemistry,8.2;6.1,7.4,7.7,7.46
S110,Biology,7.2;7.7,6.6,8.2,7.53
S110,History,7.5;5.8,6.3,7.0,6.7
S110,Geography,8.0;6.7,5.7,5.5,6.09
S111,Math,6.1;5.9,7.6,5.6,6.29
S111,Literature,6.9;5.9,6.5,6.7,6.56
S111,English,7.0;6.9,5.7,5.6,6.01
S111,Physics,7.7;7.4,5.2,6.0,6.21
S111,Chemistry,6.1;6.0,5.8,8.4,6.99
S111,Biology,6.0;6.4,6.1,6.8,6.43
S111,History,8.3;5.6,7.4,7.7,7.4
S111,Geography,5.8;7.5,5.8,7.0,6.56
S112,Math,7.2;7.4,6.7,8.2,7.51
S112,Literature,7.7;7.0,5.7,7.5,6.94
S112,English,7.2;7.3,7.6,8.4,7.84
S112,Physics,7.0;7.9,6.1,8.3,7.43
S112,Chemistry,8.2;7.4,7.5,6.7,7.24
S112,Biology,6.6;8.0,7.4,8.5,7.84
S112,History,7.7;7.2,7.7,6.0,6.9
S112,Geography,6.0;8.3,5.0,6.7,6.34
S113,Math,3.3;3.3,5.9,4.5,4.56
S113,Literature,3.5;3.9,5.5,5.6,5.03
S113,English,4.6;3.7,4.8,4.1,4.31
S113,Physics,5.0;4.5,5.5,4.8,4.99
S113,Chemistry,3.8;3.5,4.1,4.5,4.14
S113,Biology,3.4;3.2,4.3,5.1,4.36
S113,History,3.3;6.2,3.7,5.5,4.77
S113,Geography,4.2;3.0,5.2,4.5,4.44
S114,Math,6.5;6.2,7.7,7.7,7.31
S114,Literature,6.6;7.9,5.2,6.7,6.43
S114,English,8.4;6.3,5.4,7.8,6.99
S114,Physics,7.1;5.8,7.9,5.1,6.29
S114,Chemistry,7.3;6.2,6.9,5.5,6.26
S114,Biology,6.4;7.9,7.6,6.1,6.83
S114,History,7.8;6.1,5.8,7.6,6.9
S114,Geography,6.8;7.3,6.0,7.2,6.81
S115,Math,7.0;7.8,7.1,8.5,7.79
S115,Literature,7.6;7.0,5.9,7.6,7.03
S115,English,8.0;8.5,5.2,8.1,7.31
S115,Physics,5.9;6.6,6.2,5.2,5.79
S115,Chemistry,6.1;5.7,5.2,5.9,5.7
S115,Biology,8.0;6.9,6.5,6.1,6.6
S115,History,6.7;7.5,5.7,5.4,5.97
S115,Geography,5.6;5.9,7.5,7.0,6.79
S116,Math,8.5;9.4,10.0,9.8,9.61
S116,Literature,8.9;8.4,10.0,8.9,9.14
S116,English,9.0;8.5,9.5,9.3,9.2
S116,Physics,9.5;8.5,9.3,9.7,9.39
S116,Chemistry,9.1;8.1,9.1,8.8,8.83
S116,Biology,9.6;9.7,9.2,9.6,9.5
S116,History,9.4;8.4,8.4,9.8,9.14
S116,Geography,8.2;9.6,9.2,9.2,9.11
S117,Math,6.7;7.3,6.1,6.5,6.53
S117,Literature,6.9;5.6,6.2,7.2,6.64
S117,English,8.2;8.5,5.9,7.9,7.46
S117,Physics,7.4;6.8,5.5,6.6,6.43
S117,Chemistry,6.9;6.2,6.7,7.8,7.13
S117,Biology,7.8;7.7,7.4,6.9,7.29
S117,History,8.2;6.7,5.5,5.7,6.14
S117,Geography,5.6;8.0,6.8,7.2,6.97
S118,Math,9.8;9.0,8.5,8.9,8.93
S118,Literature,8.7;8.1,9.4,9.8,9.29
S118,English,8.1;9.3,9.9,9.2,9.26
S118,Physics,8.3;9.8,9.1,9.9,9.43
S118,Chemistry,9.6;8.3,8.2,9.1,8.8
S118,Biology,9.2;9.6,9.2,8.6,9.0
S118,History,9.0;9.0,8.6,8.9,8.84
S118,Geography,9.7;9.4,8.6,9.6,9.3
S119,Math,8.4;6.5,7.6,8.5,7.94
S119,Literature,6.7;6.9,7.7,6.2,6.8
S119,English,7.0;6.6,6.8,6.4,6.63
S119,Physics,7.0;7.8,7.3,6.2,6.86
S119,Chemistry,5.6;8.4,5.9,5.2,5.91
S119,Biology,8.1;8.0,7.1,7.4,7.5
S119,History,7.3;6.2,7.2,6.4,6.73
S119,Geography,7.6;6.0,6.6,6.6,6.66
S120,Math,6.2;8.1,7.5,5.6,6.59
S120,Literature,6.5;7.1,5.8,7.5,6.81
S120,English,5.6;8.3,5.8,5.2,5.87
S120,Physics,6.1;6.7,6.1,6.6,6.4
S120,Chemistry,7.7;5.5,7.9,5.3,6.41
S120,Biology,5.8;7.9,5.7,5.2,5.81
S120,History,5.5;7.4,6.3,5.6,6.04
S120,Geography,6.2;6.9,7.5,7.8,7.36
S121,Math,8.3;7.0,6.3,7.4,7.16
S121,Literature,5.6;7.3,6.1,5.8,6.07
S121,English,6.9;7.0,6.7,5.1,6.09
S121,Physics,7.1;6.1,5.6,7.0,6.49
S121,Chemistry,8.1;6.0,7.2,5.5,6.43
S121,Biology,6.3;8.1,5.1,6.3,6.21
S121,History,7.8;6.2,6.2,7.5,6.99
S121,Geography,7.9;7.7,5.0,8.5,7.3
S122,Math,8.2;9.6,9.2,9.3,9.16
S122,Literature,8.9;8.6,9.5,10.0,9.5
S122,English,8.0;9.9,9.9,8.7,9.11
S122,Physics,8.3;8.7,8.4,9.0,8.69
S122,Chemistry,8.6;9.8,9.6,9.0,9.23
S122,Biology,9.1;8.7,9.3,9.6,9.31
S122,History,9.0;8.5,8.6,9.6,9.07
S122,Geography,8.0;9.5,9.1,9.1,9.0
S123,Math,8.2;8.3,7.0,8.3,7.91
S123,Literature,6.8;5.7,5.2,7.2,6.36
S123,English,6.1;5.6,6.2,6.7,6.31
S123,Physics,6.1;6.0,5.6,5.7,5.77
S123,Chemistry,6.5;7.0,7.6,6.0,6.67
S123,Biology,5.6;6.9,6.1,7.8,6.87
S123,History,6.5;6.5,6.4,6.6,6.51
S123,Geography,8.3;7.5,6.5,8.5,7.76
S124,Math,7.7;6.9,5.4,5.7,6.07
S124,Literature,8.1;7.6,6.5,8.4,7.7
S124,English,5.8;5.6,6.4,5.7,5.9
S124,Physics,7.2;6.5,5.2,6.0,6.01
S124,Chemistry,6.8;6.6,7.5,6.8,6.97
S124,Biology,5.8;7.6,6.4,5.2,5.97
S124,History,5.9;7.9,7.6,5.4,6.46
S124,Geography,6.3;5.6,7.7,6.7,6.77
S125,Math,5.1;3.6,3.7,5.2,4.53
S125,Literature,5.5;6.1,5.3,3.8,4.8
S125,English,3.1;5.1,3.5,3.4,3.63
S125,Physics,6.5;3.4,5.5,4.8,5.04
S125,Chemistry,5.1;5.1,3.1,5.0,4.49
S125,Biology,5.4;5.2,5.1,3.9,4.64
S125,History,4.6;4.9,3.2,3.1,3.6
S125,Geography,5.3;5.1,5.5,5.9,5.59
S126,Math,5.8;8.0,7.9,5.8,6.71
S126,Literature,8.4;6.7,5.6,6.3,6.46
S126,English,7.6;5.9,5.0,8.3,6.91
S126,Physics,7.1;7.7,7.8,7.4,7.51
S126,Chemistry,6.0;7.5,7.7,6.9,7.09
S126,Biology,5.9;6.3,5.3,5.4,5.57
S126,History,7.2;7.1,5.4,7.2,6.67
S126,Geography,7.5;7.5,6.9,7.3,7.24
S127,Math,5.0;4.7,3.2,5.6,4.7
S127,Literature,4.0;3.6,3.9,2.9,3.44
S127,English,3.9;4.4,5.6,4.5,4.71
S127,Physics,4.5;4.2,5.0,4.7,4.69
S127,Chemistry,3.5;4.8,5.0,3.5,4.11
S127,Biology,6.3;6.4,4.9,5.4,5.53
S127,History,3.2;4.9,3.6,4.8,4.24
S127,Geography,4.7;5.7,4.7,5.4,5.14
S128,Math,6.5;5.8,6.4,6.0,6.16
S128,Literature,6.4;5.8,5.5,8.4,6.91
S128,English,7.8;5.6,6.5,6.8,6.69
S128,Physics,7.2;6.2,7.1,7.4,7.11
S128,Chemistry,8.2;7.9,6.9,7.8,7.61
S128,Biology,7.5;8.1,5.6,5.9,6.36
S128,History,6.1;6.8,5.2,5.3,5.6
S128,Geography,5.7;7.7,6.3,5.9,6.24
S129,Math,7.9;8.4,6.1,5.5,6.43
S129,Literature,6.0;7.1,6.8,6.7,6.69
S129,English,6.5;7.9,6.3,5.6,6.26
S129,Physics,6.3;5.8,7.1,5.2,5.99
S129,Chemistry,6.1;6.2,6.1,6.5,6.29
S129,Biology,6.3;7.2,6.7,5.2,6.07
S129,History,7.9;7.2,6.1,5.9,6.43
S129,Geography,7.1;7.6,6.0,5.5,6.17
S130,Math,6.7;5.6,7.6,7.0,6.93
S130,Literature,6.8;8.0,7.1,7.8,7.49
S130,English,7.4;8.4,5.2,7.9,7.13
S130,Physics,8.3;6.7,7.7,5.4,6.66
S130,Chemistry,7.9;7.0,6.0,6.4,6.59
S130,Biology,7.0;6.7,7.5,8.1,7.57
S130,History,7.1;5.6,7.1,7.6,7.1
S130,Geography,7.8;7.3,7.1,6.7,7.06
S131,Math,9.0;9.9,8.0,8.8,8.76
S131,Literature,9.9;8.4,9.8,9.7,9.57
S131,English,8.5;8.1,10.0,9.3,9.21
S131,Physics,9.5;9.1,9.1,9.2,9.2
S131,Chemistry,8.9;9.6,9.8,9.1,9.34
S131,Biology,10.0;8.8,9.7,9.6,9.57
S131,History,8.6;9.7,8.4,8.7,8.74
